,Description,age
235,Autres commerces de détail alimentaires en magasins spécialisés n.d.a.,23.492537313432837
236,Autres commerces de détail en magasins non spécialisés (sans prédominance alimentaire et surface de vente inférieure à 2.500 m2),28.58273381294964
237,Autres commerces de détail en magasins non spécialisés à prédominance alimentaire,24.282442748091604
238,"Autres commerces de détail hors magasin, éventaires ou marchés",8.321259538298078
239,Autres commerces de détail hors magasins,24.018392370572208
240,Autres commerces de détail spécialisés de produits non alimentaires n.d.a.,26.726638023630503
241,Autres commerces de détail sur marchés et éventaires,24.005102040816325
242,Autres commerces de détail sur éventaires et marchés,10.77087698293924
243,Autres commerces de gros,26.95907928388747
244,Autres commerces de gros alimentaires spécialisés,26.348401323043
245,Autres commerces de gros d'articles de consommation n.d.a.,28.35109926715523
246,Autres commerces de gros non spécialisés de produits alimentaires,30.002132196162048
247,Autres conseils pour les affaires et le management,21.992589265663597
248,Autres cultures non permanentes n.c.a.,10.087719298245615
249,Autres cultures permanentes,9.778904665314402
250,Autres débits de boissons,13.648086915446386
251,Autres essais et analyses techniques,26.125
252,Autres formes d'action sociale sans hébergement n.c.a.,16.250073464590066
253,Autres formes d'enseignement,6.232469271023488
254,Autres formes d'enseignement n.d.a.,19.59961593855017
255,Autres hébergements,17.446280991735538
256,Autres industries textiles n.d.a.,30.17365269461078
257,Autres intermédiaires spécialisés du commerce,23.103213242453748
258,Autres intermédiaires spécialisés du commerce n.d.a.,35.0
259,Autres intermédiations monétaires,26.769822940723632
260,Autres moyens d'hébergement de courte durée,22.91518467852257
261,Autres organismes de sécurité sociale,38.21468926553672
262,Autres réparations n.d.a.,26.295779685264662
263,Autres services  n.d.a.,23.786324786324787
264,Autres services aux entreprises n.d.a,21.070274332957535
265,Autres services aux entreprises n.d.a.,23.428571428571427
266,Autres services auxiliaires des transports,12.890861778662178
267,Autres services d'enregistrements sonores,6.814084507042254
268,Autres services d'information n.c.a.,5.910615608337372
269,Autres services de restauration,14.170918367346939
270,Autres services de réservation,8.74810606060606
271,Autres services de soutien à l'enseignement,6.538594470046083
272,Autres services personnels,7.322605965463108
273,Autres soins corporels,19.496737712048716
274,Autres transports routiers réguliers de voyageurs,37.14054054054054
275,Autres transports terrestres de voyageurs,31.93359375
276,Autres transports terrestres de voyageurs n.c.a.,12.210047201618341
277,Autres travaux d'installation,24.719818706221673
278,Autres travaux d'installation n.c.a.,8.75816357555488
279,Autres travaux de construction spécialisés,22.167323696890058
280,Autres travaux de finition,10.963683692581188
281,Autres travaux de plomberie,26.704158145875937
282,Autres travaux maritimes et fluviaux,29.794642857142858
283,Banques,19.345098039215685
284,Banques centrales,29.5
285,"Biscotterie et biscuiterie, patisserie de conservation",28.425641025641024
286,"Blanchisseries, teintureries et similaires",32.53417266187051
287,Boulangeries et/ou pâtisseries artisanales,27.659007352941178
288,Boulangeries industrielles,29.615686274509805
289,Bureau d'architecte,14.699064130101258
290,Bureau d'étude de marché,27.40541825095057
291,Bureau de géomètre,16.64475271411339
292,Bureau de relations publiques,18.927545691906005
293,C.P.A.S.,49.0
294,Cabinet d'huissier,25.0
295,Cabinets d'avocats et conseillers juridiques,24.677098674521353
296,Cafés et bars,18.663124458561942
297,Caisses d'épargne,23.507518796992482
298,Caisses de retraite,24.44
299,Cantines,36.22846889952153
300,"Captage, traitement et distribution d'eau",32.97452229299363
301,"Captage, épuration et distribution d'eau",46.77040816326531
302,Centre d'entreprises,23.52046783625731
303,Centres P.M.S. et centres d'orientation ou reformation professionnelle,47.91111111111111
304,Centres Publics d'Action Sociale (C.P.A.S.),49.55890804597701
305,"Centres de collecte de sang, banques d'organes et similaires",24.625
306,Centres de coordination,25.612546125461254
307,Centres et villages de vacances,30.50581395348837
308,Chambres d'hôtes,10.438059932035836
309,"Chasse, piégeage et services annexes",11.117647058823529
310,"Chasse; capture d'animaux, repeuplement en gibier et services annexes",26.979089363017934
311,"Chocolaterie, confiserie",29.148211243611584
312,Coiffure,15.968097322902462
313,Cokéfaction,33.964285714285715
314,Collecte de lait et transport vers les unités de traitement du lait,12.0
315,Collecte des déchets dangereux,10.225806451612904
316,Collecte des déchets non dangereux,11.098387096774193
317,Collecte et traitement des eaux usées,24.638986013986013
318,Commerce d'électricité,7.874748490945674
319,Commerce de combustibles gazeux par conduites,3.8874868559411144
320,Commerce de détail alimentaire sur marchés et éventaires,24.46005046257359
321,Commerce de détail alimentaire sur éventaires et marchés,10.504533579222375
322,Commerce de détail d'accessoires du vêtement,20.280568720379147
323,Commerce de détail d'accessoires du vêtement en magasin spécialisé,8.48546465448769
324,"Commerce de détail d'accessoires, de pièces détachées et d'équipements divers pour véhicules automobiles, y compris la vente de détail de pièces détachées et d'équipements automobiles d'occasion",40.0
325,"Commerce de détail d'animaux de compagnie, d'aliments et d'accessoires pour ces animaux en magasin spécialisé",11.414235705950992
326,Commerce de détail d'antiquités,28.469487388120424
327,Commerce de détail d'antiquités en magasin,15.614961832061068
328,Commerce de détail d'appareils d'éclairage en magasin spécialisé,21.30807426597582
329,Commerce de détail d'appareils d'éclairage et d'équipements du foyer,27.11134732925857
330,"Commerce de détail d'appareils ménagers non électriques, de vaisselle, de verrerie, de porcelaine et de poterie en magasin spécialisé",8.220203099946552
331,Commerce de détail d'appareils électroménagers en magasin spécialisé,21.789631988676575
332,"Commerce de détail d'appareils électroménagers, de radio et de télévision",28.669384902143523
333,Commerce de détail d'armes et de munitions en magasin spécialisé,24.38372093023256
334,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,13.460504752540151
335,Commerce de détail d'articles de droguerie et de produits d'entretien en magasin spécialisé,15.109797297297296
336,"Commerce de détail d'articles de puériculture en magasin spécialisé, assortiment général",7.912432432432432
337,Commerce de détail d'articles de sport en magasin spécialisé,14.165408373369939
338,Commerce de détail d'articles et de matériels d'installations sanitaires en magasin spécialisé,8.695693779904307
339,Commerce de détail d'articles médicaux et orthopédiques,23.642787996127783
340,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,12.183564567769476
341,"Commerce de détail d'automobiles et d'autres véhicules automobiles légers ( = 3,5 tonnes )",16.073950361506913
342,Commerce de détail d'autres articles de ménage en magasin spécialisé n.c.a.,7.3232323232323235
343,"Commerce de détail d'autres biens d'occasion tels que meubles, matériaux de",39.0
344,Commerce de détail d'autres matériaux de construction en magasin spécialisé,9.888817480719794
345,Commerce de détail d'autres textiles en magasin spécialisé,8.097431355181577
346,"Commerce de détail d'autres véhicules automobiles ( > 3,5 tonnes )",11.200918484500574
347,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé,9.33002481389578
348,Commerce de détail d'habillement et d'articles textiles sur marchés et éventaires,22.557377049180328
349,Commerce de détail d'instruments de musique en magasin spécialisé,10.217616580310882
350,Commerce de détail d'objets d'art neufs en magasin spécialisé,8.0748031496063
351,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",13.194230027016596
352,Commerce de détail d'équipements de véhicules automobiles,17.157440758293838
353,Commerce de détail de biens d'occasion,26.74788732394366
354,"Commerce de détail de biens d'occasion en magasin, sauf vêtements d'occasion",7.797567332754127
355,Commerce de détail de boissons,25.297226386806596
356,"Commerce de détail de boissons en magasin spécialisé, assortiment général",12.93232786885246
357,Commerce de détail de carburants,31.101951219512195
358,Commerce de détail de carburants automobiles en magasin spécialisé,20.26189078097475
359,Commerce de détail de carrelages de sols et de murs en magasin spécialisé,10.314432989690722
360,Commerce de détail de chaussures,28.084065934065933
361,Commerce de détail de chaussures en magasin spécialisé,14.778128950695322
362,Commerce de détail de chocolat et de confiserie en magasin spécialisé,7.763504611330698
363,"Commerce de détail de combustibles en magasin spécialisé, à l'exclusion des carburants automobiles",20.361897170187326
364,Commerce de détail de cycles en magasin spécialisé,12.748013245033112
365,Commerce de détail de fils à tricoter et d'articles de mercerie en magasin spécialisé,7.651315789473684
366,"Commerce de détail de fleurs, de plantes, de graines et d'engrais en magasin spécialisé",15.986098333844424
367,Commerce de détail de fruits et de légumes en magasin spécialisé,13.907985631389886
368,Commerce de détail de fruits et légumes frais,15.297148475909538
369,Commerce de détail de jeux et de jouets en magasin spécialisé,12.886693999254566
370,Commerce de détail de journaux et de papeterie en magasin spécialisé,17.977318212141427
371,Commerce de détail de linge de maison en magasin spécialisé,22.325151992794417
372,Commerce de détail de livres en magasin spécialisé,10.432345360824742
373,"Commerce de détail de livres, journaux et papeterie",28.043198529411764
374,Commerce de détail de maroquinerie et d'articles de voyage,26.825619834710743
375,Commerce de détail de maroquinerie et d'articles de voyage en magasin spécialisé,13.148350149986365
376,"Commerce de détail de matériaux de construction en magasin spécialisé, assortiment général",21.937752965806002
377,Commerce de détail de matériaux de construction et de matériaux de jardin en bois en magasin spécialisé,9.228956228956228
378,"Commerce de détail de matériel photographique, d'optique et de précision en magasin spécialisé",19.034150371798404
379,Commerce de détail de matériels audio-vidéo en magasin spécialisé,10.245937961595274
380,Commerce de détail de matériels de télécommunication en magasin spécialisé,7.967479674796748
381,Commerce de détail de meubles,29.836499532855807
382,Commerce de détail de mobilier de maison en magasin spécialisé,16.57262996941896
383,Commerce de détail de pain et de pâtisserie en magasin spécialisé (dépôt),13.255411255411255
384,"Commerce de détail de pain, pâtisserie et confiserie",24.810620851229988
385,Commerce de détail de parfumerie et de produits de beauté,26.10003585514521
386,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,11.512184917895617
387,"Commerce de détail de parquet, de laminés et de revêtement en liège en magasin spécialisé",10.691029900332225
388,Commerce de détail de peinture et de vernis en magasin spécialisé,11.021739130434783
389,Commerce de détail de pièces détachées et accessoires pour véhicules automobiles,27.2898406374502
390,"Commerce de détail de poissons, crustacés et mollusques",16.901300688599846
391,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé",14.018264840182649
392,Commerce de détail de produits laitiers et d'oeufs en magasin spécialisé,15.47097097097097
393,Commerce de détail de produits laitiers et oeufs,28.0
394,Commerce de détail de produits pharmaceutiques en magasin spécialisé,20.545589749456585
395,Commerce de détail de produits à base de tabac en magasin spécialisé,11.98165137614679
396,Commerce de détail de quincaillerie et d'outils en magasin spécialisé,11.820359281437126
397,"Commerce de détail de quincaillerie, peintures, matériaux de construction et verre (y compris les bricocenters) avec une surface de vente de plus de 400 m2.",29.550328227571114
398,"Commerce de détail de quincaillerie, peintures, matériaux de construction et verre (y compris les bricocenters) avec une surface de vente jusqu'à 400 m2.",30.64413965087282
399,"Commerce de détail de sous-vêtements, de lingerie et de vêtements de bain en magasin spécialisé",12.64776119402985
400,"Commerce de détail de sous-vêtements, lingerie et vêtements de bain",23.16816816816817
401,Commerce de détail de souvenirs et d'articles religieux en magasin spécialisé,10.546108427267848
402,Commerce de détail de tabac,24.6135881104034
403,"Commerce de détail de tapis, de moquettes et de revêtements de murs et de sols en magasin spécialisé",17.259948320413436
404,Commerce de détail de textiles,29.665799363978028
405,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés",12.029012345679012
406,Commerce de détail de tissus d'habillement en magasin spécialisé,7.8970792767732965
407,"Commerce de détail de tous types de produits exercé selon des modalités non prévues dans les classes précédentes: par démarcheurs, distributeurs automatiques, démonstrateurs, marchands ambulant, etc.",11.0
408,Commerce de détail de viande de gibier et de volaille en magasin spécialisé,7.933925049309665
409,"Commerce de détail de viandes et de produits à base de viande en magasin spécialisé, sauf viande de gibier et de volaille",17.567846373591493
410,Commerce de détail de viandes et produits à base de viande,26.251728553137003
411,Commerce de détail de vins et de spiritueux en magasin spécialisé,6.841960604672469
412,Commerce de détail de véhicules automobiles,29.87375769048746
413,Commerce de détail de vêtements d'occasion en magasin,17.304308390022676
414,Commerce de détail de vêtements pour bébé et enfant en magasin spécialisé,9.70615671641791
415,Commerce de détail de vêtements pour bébés et enfants,23.480730223123732
416,Commerce de détail de vêtements pour dame en magasin spécialisé,10.17050487156776
417,Commerce de détail de vêtements pour dames,26.261682242990656
